threshold,FP,FN,TotalCost
0.0,49,0,98000
0.01,44,0,88000
0.02,41,0,82000
0.03,40,0,80000
0.04,36,1,122000
0.05,35,1,120000
0.06,33,1,116000
0.07,30,1,110000
0.08,28,1,106000
0.09,28,1,106000
0.1,23,1,96000
0.11,21,1,92000
0.12,21,1,92000
0.13,19,1,88000
0.14,19,1,88000
0.15,19,1,88000
0.16,19,2,138000
0.17,19,2,138000
0.18,17,3,184000
0.19,15,4,230000
0.2,14,6,328000
0.21,13,9,476000
0.22,13,10,526000
0.23,13,10,526000
0.24,12,10,524000
0.25,12,10,524000
0.26,12,10,524000
0.27,12,11,574000
0.28,12,11,574000
0.29,11,11,572000
0.3,11,11,572000
0.31,11,11,572000
0.32,11,11,572000
0.33,11,11,572000
0.34,10,11,570000
0.35,10,11,570000
0.36,10,11,570000
0.37,10,11,570000
0.38,10,11,570000
0.39,9,12,618000
0.4,8,12,616000
0.41,8,12,616000
0.42,8,12,616000
0.43,8,12,616000
0.44,8,12,616000
0.45,8,12,616000
0.46,8,12,616000
0.47,8,12,616000
0.48,8,12,616000
0.49,8,12,616000
0.5,7,12,614000
0.51,7,12,614000
0.52,6,12,612000
0.53,6,12,612000
0.54,6,12,612000
0.55,6,12,612000
0.56,6,12,612000
0.57,6,12,612000
0.58,6,12,612000
0.59,6,12,612000
0.6,6,12,612000
0.61,6,12,612000
0.62,6,12,612000
0.63,6,12,612000
0.64,6,13,662000
0.65,6,13,662000
0.66,4,13,658000
0.67,4,13,658000
0.68,4,14,708000
0.69,4,14,708000
0.7,3,14,706000
0.71,3,14,706000
0.72,3,15,756000
0.73,3,15,756000
0.74,3,16,806000
0.75,3,16,806000
0.76,3,16,806000
0.77,2,16,804000
0.78,2,17,854000
0.79,2,17,854000
0.8,2,19,954000
0.81,2,19,954000
0.82,2,20,1004000
0.83,2,21,1054000
0.84,2,21,1054000
0.85,2,21,1054000
0.86,2,21,1054000
0.87,2,22,1104000
0.88,2,24,1204000
0.89,2,25,1254000
0.9,2,25,1254000
0.91,2,26,1304000
0.92,2,28,1404000
0.93,1,29,1452000
0.94,1,29,1452000
0.95,1,30,1502000
0.96,1,31,1552000
0.97,1,31,1552000
0.98,1,32,1602000
0.99,0,34,1700000
1.0,0,41,2050000
