threshold,TP,FP,FN,TN,accuracy,precision,recall,specificity,f1
0.0,41,49,0,0,0.45555555555555555,0.45555555555555555,1.0,0.0,0.6259541984732825
0.05,40,35,1,14,0.6,0.5333333333333333,0.975609756097561,0.2857142857142857,0.689655172413793
0.1,40,23,1,26,0.7333333333333333,0.6349206349206349,0.975609756097561,0.5306122448979592,0.7692307692307692
0.15,40,19,1,30,0.7777777777777778,0.6779661016949152,0.975609756097561,0.6122448979591837,0.7999999999999999
0.2,35,14,6,35,0.7777777777777778,0.7142857142857143,0.8536585365853658,0.7142857142857143,0.7777777777777778
0.25,31,12,10,37,0.7555555555555555,0.7209302325581395,0.7560975609756098,0.7551020408163265,0.7380952380952381
0.3,30,11,11,38,0.7555555555555555,0.7317073170731707,0.7317073170731707,0.7755102040816326,0.7317073170731707
0.35,30,10,11,39,0.7666666666666667,0.75,0.7317073170731707,0.7959183673469388,0.7407407407407408
0.4,29,8,12,41,0.7777777777777778,0.7837837837837838,0.7073170731707317,0.8367346938775511,0.7435897435897435
0.45,29,8,12,41,0.7777777777777778,0.7837837837837838,0.7073170731707317,0.8367346938775511,0.7435897435897435
0.5,29,7,12,42,0.7888888888888889,0.8055555555555556,0.7073170731707317,0.8571428571428571,0.7532467532467532
0.55,29,6,12,43,0.8,0.8285714285714286,0.7073170731707317,0.8775510204081632,0.7631578947368421
0.6,29,6,12,43,0.8,0.8285714285714286,0.7073170731707317,0.8775510204081632,0.7631578947368421
0.65,28,6,13,43,0.7888888888888889,0.8235294117647058,0.6829268292682927,0.8775510204081632,0.7466666666666667
0.7,27,3,14,46,0.8111111111111111,0.9,0.6585365853658537,0.9387755102040817,0.7605633802816902
0.75,25,3,16,46,0.7888888888888889,0.8928571428571429,0.6097560975609756,0.9387755102040817,0.7246376811594203
0.8,22,2,19,47,0.7666666666666667,0.9166666666666666,0.5365853658536586,0.9591836734693877,0.676923076923077
0.85,20,2,21,47,0.7444444444444445,0.9090909090909091,0.4878048780487805,0.9591836734693877,0.6349206349206349
0.9,16,2,25,47,0.7,0.8888888888888888,0.3902439024390244,0.9591836734693877,0.5423728813559323
0.95,11,1,30,48,0.6555555555555556,0.9166666666666666,0.2682926829268293,0.9795918367346939,0.4150943396226415
1.0,0,0,41,49,0.5444444444444444,0.0,0.0,1.0,0.0
