threshold,TP,FP,FN,TN,accuracy,precision,recall,specificity,f1
0.0,41,59,0,0,0.41,0.41,1.0,0.0,0.5815602836879432
0.05,40,42,1,17,0.57,0.4878048780487805,0.975609756097561,0.288135593220339,0.6504065040650406
0.1,40,28,1,31,0.71,0.5882352941176471,0.975609756097561,0.5254237288135594,0.7339449541284403
0.15,40,23,1,36,0.76,0.6349206349206349,0.975609756097561,0.6101694915254238,0.7692307692307692
0.2,35,17,6,42,0.77,0.6730769230769231,0.8536585365853658,0.711864406779661,0.7526881720430108
0.25,31,15,10,44,0.75,0.6739130434782609,0.7560975609756098,0.7457627118644068,0.7126436781609194
0.3,30,13,11,46,0.76,0.6976744186046512,0.7317073170731707,0.7796610169491526,0.7142857142857143
0.35,30,12,11,47,0.77,0.7142857142857143,0.7317073170731707,0.7966101694915254,0.7228915662650603
0.4,29,9,12,50,0.79,0.7631578947368421,0.7073170731707317,0.847457627118644,0.7341772151898733
0.45,29,9,12,50,0.79,0.7631578947368421,0.7073170731707317,0.847457627118644,0.7341772151898733
0.5,29,8,12,51,0.8,0.7837837837837838,0.7073170731707317,0.864406779661017,0.7435897435897435
0.55,29,7,12,52,0.81,0.8055555555555556,0.7073170731707317,0.8813559322033898,0.7532467532467532
0.6,29,7,12,52,0.81,0.8055555555555556,0.7073170731707317,0.8813559322033898,0.7532467532467532
0.65,28,7,13,52,0.8,0.8,0.6829268292682927,0.8813559322033898,0.736842105263158
0.7,27,3,14,56,0.83,0.9,0.6585365853658537,0.9491525423728814,0.7605633802816902
0.75,25,3,16,56,0.81,0.8928571428571429,0.6097560975609756,0.9491525423728814,0.7246376811594203
0.8,22,2,19,57,0.79,0.9166666666666666,0.5365853658536586,0.9661016949152542,0.676923076923077
0.85,20,2,21,57,0.77,0.9090909090909091,0.4878048780487805,0.9661016949152542,0.6349206349206349
0.9,16,2,25,57,0.73,0.8888888888888888,0.3902439024390244,0.9661016949152542,0.5423728813559323
0.95,11,1,30,58,0.69,0.9166666666666666,0.2682926829268293,0.9830508474576272,0.4150943396226415
1.0,0,0,41,59,0.59,0.0,0.0,1.0,0.0
