feature,mean_train_after,std_train_after
age,4.50525285355136e-17,0.9999999999999993
sex,-5.256128329143253e-17,0.9999999999999979
cp,-1.2228543459639405e-16,0.9999999999999993
trestbps,5.905099275904818e-16,0.9999999999999997
chol,1.0726792508455619e-17,1.0
fbs,-9.064139669644997e-17,0.9999999999999973
restecg,4.0761811532131354e-17,1.0000000000000002
thalach,-3.003501902367573e-17,1.0000000000000002
exang,-8.152362306426271e-17,1.0000000000000007
oldpeak,3.003501902367573e-17,0.9999999999999996
slope,1.2496713272350795e-16,1.0000000000000009
ca,-1.609018876268343e-17,0.9999999999999996
thal,-2.6280641645716264e-16,1.0000000000000029
