ID	Size	Hub	HubMass	ProtectedHubMass	HubDeg	BadEdges	BadEdgeFrac	BadMass	PredAccept	AcceptRate	ObsEdges	CompletedTrials
1	10	0	0.224	0.000	9	7	0.189189	0.1228	0.0014	0.0000	37	8
4	25	0	0.427	1.000	24	17	0.173469	0.0289	0.2309	0.1250	95	8
2	15	0	0.328	1.000	14	7	0.125000	0.0589	0.0481	0.0000	56	8
3	20	0	0.367	1.000	19	11	0.137500	0.0500	0.0769	0.1250	78	8
4	25	0	0.427	1.000	24	19	0.193878	0.0300	0.2181	0.3750	93	8
5	30	0	0.450	0.000	29	23	0.201754	0.0206	0.3540	0.3750	104	8
5	30	0	0.448	1.000	29	21	0.184211	0.0183	0.3965	0.1250	100	8
6	40	0	0.465	1.000	39	30	0.186335	0.0112	0.5697	0.3750	142	8
6	40	0	0.466	1.000	39	29	0.193333	0.0105	0.5906	0.5000	138	8
7	50	0	0.474	0.986	49	36	0.187500	0.0074	0.6904	0.3750	162	8
7	50	0	0.473	0.986	49	45	0.223881	0.0095	0.6197	0.5000	165	8
8	60	0	0.475	1.000	59	49	0.215859	0.0069	0.7072	0.2500	169	8
8	60	0	0.477	0.988	59	51	0.217949	0.0052	0.7691	0.3750	177	8
9	70	0	0.479	1.000	69	69	0.247312	0.0067	0.7157	0.1250	185	8
9	70	0	0.479	0.992	69	68	0.248175	0.0060	0.7419	0.5000	185	8
10	80	0	0.479	0.992	79	70	0.224359	0.0055	0.7599	0.3750	204	8
10	80	0	0.478	0.993	79	72	0.225705	0.0062	0.7331	0.3750	203	8
11	90	0	0.477	0.993	89	76	0.214689	0.0069	0.7072	0.2500	221	8
11	90	0	0.480	0.985	89	72	0.204545	0.0069	0.7072	0.6250	213	8
12	100	0	0.484	0.994	99	91	0.234536	0.0043	0.8067	0.2500	210	8
12	100	0	0.479	1.000	99	90	0.224439	0.0055	0.7599	0.7500	240	8
13	120	0	0.479	0.984	119	117	0.242739	0.0045	0.7972	0.6250	254	8
13	120	0	0.478	0.983	119	112	0.234801	0.0062	0.7331	0.5000	265	8
14	150	0	0.480	1.000	149	147	0.244592	0.0060	0.7390	0.7500	333	8
14	150	0	0.481	1.000	149	142	0.235880	0.0051	0.7752	0.5000	338	8
15	200	0	0.480	1.000	199	181	0.227102	0.0049	0.7814	0.3750	399	8
15	200	0	0.480	0.983	199	187	0.234630	0.0046	0.7940	0.5000	403	8
16	300	0	0.481	0.981	299	356	0.296420	0.0041	0.8132	0.6250	508	8
16	300	0	0.483	1.000	299	309	0.258145	0.0033	0.8462	0.5000	490	8
17	400	0	0.481	1.000	399	442	0.277464	0.0030	0.8598	0.6250	616	8
17	400	0	0.482	0.991	399	374	0.234630	0.0038	0.8263	0.3750	607	8
18	500	0	0.480	0.980	499	593	0.297094	0.0044	0.8003	0.3750	823	8
18	500	0	0.482	1.000	499	522	0.261523	0.0040	0.8184	0.3750	791	8
19	800	0	0.481	1.000	799	780	0.244208	0.0033	0.8462	0.3750	1126	8
19	800	0	0.481	0.980	799	874	0.273125	0.0027	0.8750	0.5000	1108	8
20	1000	0	0.482	1.000	999	963	0.240810	0.0022	0.8947	0.1250	1313	8
20	1000	0	0.483	1.000	999	899	0.224806	0.0016	0.9251	0.5000	1294	8
