scenario,replication,kpi,value
S1,1,avg_journey_time,2310.37362105348
S1,1,avg_jt_eminonu,1892.7536908119205
S1,1,avg_jt_besiktas,3202.563354542093
S1,1,avg_jt_kadikoy,2094.0006183969263
S1,1,avg_jt_uskudar,2185.863524106582
S1,1,loss_rate,0.0
S1,1,left_behind_rate,0.08807291859646522
S1,1,throughput,1767.3333333333333
S1,1,load_factor_L1,0.3787828947368421
S1,1,load_factor_L2,0.5449137931034482
S1,1,load_factor_L3,0.44025862068965516
S1,1,load_factor_L4,0.5296052631578947
S1,1,avg_wait_kadikoy,911.3653196943488
S1,1,avg_wait_uskudar,992.5583410685283
S1,1,avg_wait_eminonu,501.92581091030604
S1,1,avg_wait_besiktas,861.514137098767
S1,1,berth_util_kadikoy,0.14888888888888888
S1,1,berth_util_eminonu,0.14888888888888888
S1,1,missed_conn_rate,0.0
S1,1,total_pax_served,26510.0
S1,2,avg_journey_time,2449.0641677214007
S1,2,avg_jt_eminonu,1898.5818815663833
S1,2,avg_jt_besiktas,3663.2500526569256
S1,2,avg_jt_kadikoy,2110.4233153962814
S1,2,avg_jt_uskudar,2176.5972241052095
S1,2,loss_rate,0.0
S1,2,left_behind_rate,0.13832766926840198
S1,2,throughput,1754.9333333333334
S1,2,load_factor_L1,0.3707894736842105
S1,2,load_factor_L2,0.5424137931034483
S1,2,load_factor_L3,0.4437931034482759
S1,2,load_factor_L4,0.5367105263157895
S1,2,avg_wait_kadikoy,1118.1384776974521
S1,2,avg_wait_uskudar,1149.9774134347185
S1,2,avg_wait_eminonu,501.27138729998507
S1,2,avg_wait_besiktas,897.8385165778321
S1,2,berth_util_kadikoy,0.14888888888888888
S1,2,berth_util_eminonu,0.14888888888888888
S1,2,missed_conn_rate,0.0
S1,2,total_pax_served,26324.0
S1,3,avg_journey_time,2455.981296495623
S1,3,avg_jt_eminonu,1897.9180280666003
S1,3,avg_jt_besiktas,3683.2090211046575
S1,3,avg_jt_kadikoy,2120.1586887876188
S1,3,avg_jt_uskudar,2183.468113137708
S1,3,loss_rate,0.0
S1,3,left_behind_rate,0.1344569010319994
S1,3,throughput,1766.0666666666666
S1,3,load_factor_L1,0.36851973684210526
S1,3,load_factor_L2,0.5500862068965517
S1,3,load_factor_L3,0.45189655172413795
S1,3,load_factor_L4,0.5413157894736842
S1,3,avg_wait_kadikoy,1091.381653802771
S1,3,avg_wait_uskudar,1228.842354815854
S1,3,avg_wait_eminonu,508.9748014451414
S1,3,avg_wait_besiktas,883.8984809791959
S1,3,berth_util_kadikoy,0.14888888888888888
S1,3,berth_util_eminonu,0.14888888888888888
S1,3,missed_conn_rate,0.0
S1,3,total_pax_served,26491.0
S1,4,avg_journey_time,2409.715433127242
S1,4,avg_jt_eminonu,1895.5036354158017
S1,4,avg_jt_besiktas,3514.622118706587
S1,4,avg_jt_kadikoy,2114.221069112226
S1,4,avg_jt_uskudar,2221.9242732668745
S1,4,loss_rate,0.0
S1,4,left_behind_rate,0.1252211736950752
S1,4,throughput,1778.6
S1,4,load_factor_L1,0.3767434210526316
S1,4,load_factor_L2,0.5558620689655173
S1,4,load_factor_L3,0.43801724137931036
S1,4,load_factor_L4,0.5432894736842105
S1,4,avg_wait_kadikoy,1055.2375294781614
S1,4,avg_wait_uskudar,1090.7566651923353
S1,4,avg_wait_eminonu,507.2668695084966
S1,4,avg_wait_besiktas,905.4784617555226
S1,4,berth_util_kadikoy,0.14888888888888888
S1,4,berth_util_eminonu,0.14888888888888888
S1,4,missed_conn_rate,0.0
S1,4,total_pax_served,26679.0
S1,5,avg_journey_time,2408.841269935714
S1,5,avg_jt_eminonu,1891.2154776883056
S1,5,avg_jt_besiktas,3540.2923855472764
S1,5,avg_jt_kadikoy,2105.2300632003335
S1,5,avg_jt_uskudar,2148.545422260635
S1,5,loss_rate,0.0
S1,5,left_behind_rate,0.1256875278727516
S1,5,throughput,1762.7333333333333
S1,5,load_factor_L1,0.3717105263157895
S1,5,load_factor_L2,0.5527586206896552
S1,5,load_factor_L3,0.43724137931034485
S1,5,load_factor_L4,0.5390789473684211
S1,5,avg_wait_kadikoy,998.9155103162486
S1,5,avg_wait_uskudar,1244.8411654298127
S1,5,avg_wait_eminonu,491.7807958005652
S1,5,avg_wait_besiktas,861.5940470161593
S1,5,berth_util_kadikoy,0.14888888888888888
S1,5,berth_util_eminonu,0.14888888888888888
S1,5,missed_conn_rate,0.0
S1,5,total_pax_served,26441.0
S1,6,avg_journey_time,2368.242757006983
S1,6,avg_jt_eminonu,1889.8682685626575
S1,6,avg_jt_besiktas,3411.260984289561
S1,6,avg_jt_kadikoy,2117.7688149851347
S1,6,avg_jt_uskudar,2166.9633515667892
S1,6,loss_rate,0.0
