scenario,kpi,mean,ci_lower,ci_upper,std
cancel_0.10,avg_journey_time,3128.625508753607,3022.8343023191337,3234.41671518808,226.04262818395193
cancel_0.10,left_behind_rate,0.23819207939121312,0.21300793131810408,0.26337622746432215,0.05381062576827142
cancel_0.10,loss_rate,0.004382511255429608,0.001766585163115297,0.00699843734774392,0.005589413609797139
cancel_0.10,throughput,1764.3133333333335,1755.6942849549816,1772.9323817116854,18.416203137772325
cancel_0.20_base,avg_journey_time,4017.806197534263,3854.3466085856494,4181.265786482877,349.26187471639406
cancel_0.20_base,left_behind_rate,0.33148292866176343,0.30637042576051937,0.3565954315630075,0.05365754250652528
cancel_0.20_base,loss_rate,0.03506872037932115,0.025276910390631326,0.04486053036801097,0.020922026878408623
cancel_0.20_base,throughput,1699.8400000000001,1679.7370154028774,1719.9429845971229,42.95377305759113
cancel_0.30,avg_journey_time,4802.38055724999,4671.220635754645,4933.540478745334,280.247615718159
cancel_0.30,left_behind_rate,0.38466481595698915,0.36190514184404954,0.40742449006992876,0.04863028531852238
cancel_0.30,loss_rate,0.0836147075684061,0.06949943747069638,0.09772997766611581,0.030159905137190583
cancel_0.30,throughput,1596.97,1572.9716316025633,1620.9683683974367,51.27698650495407
capacity_0.75,avg_journey_time,3661.060001849872,3558.0586556979238,3764.0613480018205,220.08157176175735
capacity_0.75,left_behind_rate,0.27152570106930807,0.2514496811366234,0.2916017210019927,0.04289615802678557
capacity_0.75,loss_rate,0.05905500795915367,0.04710654644448762,0.07100346947381972,0.025530114785134138
capacity_0.75,throughput,1659.15,1636.4524401087185,1681.8475598912817,48.49756670811627
capacity_1.25,avg_journey_time,4235.779337859702,4013.431832385258,4458.126843334146,475.0868829416355
capacity_1.25,left_behind_rate,0.3636866340809713,0.33363321234058946,0.39374005582135313,0.0642147364140745
capacity_1.25,loss_rate,0.021338320037947528,0.013601588905567168,0.02907505117032789,0.0165309679098809
capacity_1.25,throughput,1720.02,1701.92318785668,1738.11681214332,38.66721173239539
