KPI,S1 Uncoordinated (No Emergencies),S2 Coordinated (No Emergencies),S3 Coordinated (With Emergencies)
Avg delay (through S→N) [s],"121.81 [102.58, 141.05]","96.27 [84.40, 108.15]","70.21 [61.79, 78.63]"
Avg delay (W→E) [s],"21.74 [21.38, 22.09]","21.46 [21.09, 21.84]","22.57 [22.22, 22.93]"
Avg queue A N/S [veh],"24.34 [19.48, 29.20]","21.29 [18.24, 24.33]","13.25 [11.19, 15.31]"
Max queue A N/S [veh],"62.10 [53.22, 70.98]","56.60 [50.05, 63.15]","41.90 [36.35, 47.45]"
Avg queue B N/S [veh],"4.61 [4.43, 4.80]","2.14 [2.01, 2.27]","3.17 [2.92, 3.42]"
Max queue B N/S [veh],"18.90 [17.82, 19.98]","13.75 [12.47, 15.03]","18.90 [17.82, 19.98]"
Avg queue A W/E [veh],"2.40 [2.32, 2.49]","2.40 [2.31, 2.49]","2.58 [2.49, 2.68]"
Max queue A W/E [veh],"12.60 [11.78, 13.42]","13.30 [12.23, 14.37]","14.10 [13.28, 14.92]"
Avg queue B W/E [veh],"2.45 [2.36, 2.53]","2.39 [2.33, 2.45]","2.48 [2.39, 2.57]"
Max queue B W/E [veh],"12.80 [12.12, 13.48]","12.90 [11.86, 13.94]","12.75 [12.01, 13.49]"
Throughput northbound at B [veh/h],"493.91 [487.93, 499.90]","495.94 [487.66, 504.22]","501.77 [493.45, 510.09]"
Avg link occupancy [veh],"4.30 [4.24, 4.36]","4.25 [4.20, 4.31]","4.26 [4.19, 4.32]"
Blocking frequency [fraction cycles],"0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
Preemptions per replication [count],"0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","53.15 [50.21, 56.09]"
Recovery time after preemption [s],"0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","15.80 [15.06, 16.54]"
